ID,LABEL,TRACK_ID,TRACK_NAME,TRACK_VISIBLE,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
ID,Label,Track ID,Track name,Track visibility,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
ID,Label,Track ID,Track name,Track visibility,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
2575,ID2575,0,Track_0,1,7300.0,284.17886262418637,289.9029690533287,0.0,0.0,0,48.196124267685796,1,ø,6220.573369938229,6192.0,4240.0,9008.0,4.5316877E7,600.0912110373101,3772.608510638298,3584.0,1504.0,10096.0,2.7483453E7,941.7000662390244,0.0187651127046037,0.3818741485646542,-0.010751059758085936,-0.08707727243662065,0.0475721294406605,-0.11558352944766259,50.77438664811236,46.039563349866555,-0.34098023079528816,1.1028424892361524,7297.499999999997,310.83465500681154,0.9491286934316248,0.989759934897599,3.6386675739004217
2557,ID2557,0,Track_0,1,7523.0,281.84976307515166,283.0784730525663,0.0,1.0,1,48.948120630984334,1,ø,6197.642914118585,6192.0,4541.0,8101.0,4.661867E7,478.7287645472774,4701.274129220952,4147.0,1861.0,10596.0,3.5362984E7,1584.3524001794742,0.015924403232705362,0.40585303353976826,0.07804069769765994,0.42961533200535806,-1.1321649550015884,0.3915898154804278,50.928211383827346,48.9367217000752,1.3241633166653162,1.0406952001394298,7527.0000000000055,326.03892824352715,0.8898009525836618,0.9830220713073009,3.758014909966386
2591,ID2591,0,Track_0,1,1375.0,271.95857628765793,283.96525753158403,0.0,2.0,2,20.897874625046462,1,ø,6343.337946103423,6342.0,5212.0,7519.0,8709403.0,402.5231583372803,7488.924981791697,7390.0,4290.0,11364.0,1.0282294E7,1431.002420187998,0.006091340526788601,0.19082375654413308,0.2703568159292126,2.2275153654819055,-0.2514697219673597,-0.7430392590649194,27.711471715414877,16.291491475646403,1.3840125678311954,1.7009781920114444,1372.0,150.03394375709598,0.7659226716659839,0.9339686861810754,4.050535748974773
2642,ID2642,1,Track_1,0,1237.0,376.71864951768487,449.263397642015,0.0,4.0,4,19.899183360445615,1,ø,6296.528559935639,6294.0,4836.0,7988.0,7826585.0,433.2577728029128,30147.78600160901,28662.0,14140.0,51480.0,3.7473698E7,10109.81969601292,0.018693117395121174,0.5333633524199549,0.5540473330442242,2.1263004721879297,0.30929543720894886,-0.009994016015072143,33.25615146315394,11.837362612247194,2.328358934846137,2.809422381700667,1244.0,161.9242182345058,0.5962201183859022,0.9587668593448938,4.590940019860998
2593,ID2593,1,Track_1,0,1026.0,373.3566343042071,443.81650485436893,0.0,5.0,5,18.10688219350047,1,ø,6394.241982507288,6384.0,5187.0,7761.0,6579675.0,424.381691160416,35889.986394557825,34522.0,16680.0,59471.0,3.6930796E7,11516.645924909602,0.019240473792709475,0.5688549287623615,0.5957695473340807,2.3269411621998084,0.061031130734293636,-0.34768519375776,24.572487898207232,14.029645318600972,2.1673748848626175,1.7514689316933914,1030.0,132.21701564923652,0.7404101919524483,0.9541454377026403,4.119729846358984
2631,ID2631,2,Track_2,1,1269.0,137.83359559402047,199.69853134015213,0.0,4.0,4,20.113971893676247,1,ø,6503.939178515008,6504.0,5389.0,7701.0,8233987.0,381.2998843842201,30093.76619273302,28583.0,14128.0,49353.0,3.8098708E7,9418.83030580128,0.018620687915157363,0.6236242898381669,0.5299173592205194,2.2133481900238388,0.5530240889327596,-0.23130815445320083,25.199482339424197,16.758255639427965,1.5407149818206567,1.5037055694589208,1271.0000000000002,143.89281426475236,0.7713956780948981,0.9414814814814817,4.036141016040141
2583,ID2583,2,Track_2,1,1206.0,145.98468468468468,191.85107415107413,0.0,5.0,5,19.56444832179043,1,ø,6529.824854045038,6530.0,5377.0,7722.0,7829260.0,377.8385094828281,32951.59799833194,32328.0,15627.0,52045.0,3.9508966E7,9475.343694844092,0.017245270405193067,0.5859622501523737,0.5498004793547655,2.467407200250744,0.17156443346032824,0.40500397958147444,24.221030134392073,16.190903382822874,1.3787560478329108,1.4959653307602625,1202.5,132.1878801585828,0.8647920190787534,0.9792345276872962,3.811966677009091
