LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID2557,2557,0,7523.0,281.84976307515166,283.0784730525663,0.0,1.0,1,48.948120630984334,1,,6197.642914118585,6192.0,4541.0,8101.0,4.661867E7,478.7287645472774,4701.274129220952,4147.0,1861.0,10596.0,3.5362984E7,1584.3524001794742,0.015924403232705362,0.40585303353976826,0.07804069769765994,0.42961533200535806,-1.1321649550015884,0.3915898154804278,50.928211383827346,48.9367217000752,1.3241633166653162,1.0406952001394298,7527.0000000000055,326.03892824352715,0.8898009525836618,0.9830220713073009,3.758014909966386
ID2575,2575,0,7300.0,284.17886262418637,289.9029690533287,0.0,0.0,0,48.196124267685796,1,,6220.573369938229,6192.0,4240.0,9008.0,4.5316877E7,600.0912110373101,3772.608510638298,3584.0,1504.0,10096.0,2.7483453E7,941.7000662390244,0.0187651127046037,0.3818741485646542,-0.010751059758085936,-0.08707727243662065,0.0475721294406605,-0.11558352944766259,50.77438664811236,46.039563349866555,-0.34098023079528816,1.1028424892361524,7297.499999999997,310.83465500681154,0.9491286934316248,0.989759934897599,3.6386675739004217
ID2591,2591,0,1375.0,271.95857628765793,283.96525753158403,0.0,2.0,2,20.897874625046462,1,,6343.337946103423,6342.0,5212.0,7519.0,8709403.0,402.5231583372803,7488.924981791697,7390.0,4290.0,11364.0,1.0282294E7,1431.002420187998,0.006091340526788601,0.19082375654413308,0.2703568159292126,2.2275153654819055,-0.2514697219673597,-0.7430392590649194,27.711471715414877,16.291491475646403,1.3840125678311954,1.7009781920114444,1372.0,150.03394375709598,0.7659226716659839,0.9339686861810754,4.050535748974773
ID2628,2628,2,1257.0,148.50106072659773,182.11389551843013,0.0,6.0,6,20.0028879648171,1,,6597.122513922037,6590.0,4813.0,7945.0,8292583.0,459.1087141533139,35357.98090692124,34372.0,17540.0,62550.0,4.4444982E7,11146.943682240853,0.018789503614236213,0.5300292707734009,0.6027700718471426,2.3858443225132895,0.10621815200763855,-0.06708881256265187,24.39298107124511,16.719517759884425,1.4267585573156256,1.4589524304206802,1256.9999999999995,134.00898006591714,0.879584035066703,0.9827990617670049,3.7797777394960623
ID2631,2631,2,1269.0,137.83359559402047,199.69853134015213,0.0,4.0,4,20.113971893676247,1,,6503.939178515008,6504.0,5389.0,7701.0,8233987.0,381.2998843842201,30093.76619273302,28583.0,14128.0,49353.0,3.8098708E7,9418.83030580128,0.018620687915157363,0.6236242898381669,0.5299173592205194,2.2133481900238388,0.5530240889327596,-0.23130815445320083,25.199482339424197,16.758255639427965,1.5407149818206567,1.5037055694589208,1271.0000000000002,143.89281426475236,0.7713956780948981,0.9414814814814817,4.036141016040141
ID2583,2583,2,1206.0,145.98468468468468,191.85107415107413,0.0,5.0,5,19.56444832179043,1,,6529.824854045038,6530.0,5377.0,7722.0,7829260.0,377.8385094828281,32951.59799833194,32328.0,15627.0,52045.0,3.9508966E7,9475.343694844092,0.017245270405193067,0.5859622501523737,0.5498004793547655,2.467407200250744,0.17156443346032824,0.40500397958147444,24.221030134392073,16.190903382822874,1.3787560478329108,1.4959653307602625,1202.5,132.1878801585828,0.8647920190787534,0.9792345276872962,3.811966677009091
ID2640,2640,4,884.0,383.5372881355932,457.91261770244824,0.0,6.0,6,16.784047463965738,1,,6436.601129943503,6429.0,4835.0,7655.0,5696392.0,390.80059113942104,37435.52994350283,37472.0,19892.0,52564.0,3.3130444E7,8097.3589857127345,0.021160806392021603,0.6826049871179737,0.537656259766172,3.233076891707221,-0.4941081733217515,0.12931113031413052,22.375613594130986,13.400740598826768,-0.4435282038427379,1.6697296264424344,885.0,118.02577544411838,0.7983611769905591,0.9725274725274725,3.9673930402473077
ID2623,2623,4,1306.0,395.223496432212,453.32747196738023,0.0,7.0,7,20.404639941160397,1,,6431.573506891271,6416.0,5027.0,8282.0,8399635.0,504.5400009912585,31998.24196018377,29982.0,13219.0,56741.0,4.1789704E7,11358.769726617837,0.018877588758793314,0.4723632922309088,0.5734661883248062,2.053407861555495,-0.42790009623909486,-0.8359025222782996,30.398427669407596,14.523210887741445,1.0868192567454846,2.093092767458599,1308.0,155.8272516924313,0.6769097751842434,0.962118425891872,4.308633354534189
ID2614,2614,6,838.0,11.453654188948306,378.3754208754209,0.0,7.0,7,16.36636090350142,1,,6467.1731909845785,6459.0,5216.0,7981.0,5451827.0,435.0068264871244,19585.690391459073,19154.0,12209.0,28229.0,1.6510737E7,3753.1163554971818,0.0061668772680565,0.1822399987522268,0.2850779015609583,2.315319607815191,0.2368650694683378,0.45564566521145855,28.006807065562107,10.923655419318269,1.7881081615965597,2.563867678948626,841.4999999999999,131.1657587968198,0.614643130792682,0.9573378839590444,4.521613281512761
ID2639,2639,6,758.0,14.178712220762154,365.7847130968025,0.0,6.0,6,15.563862739881277,1,,6442.015706806283,6472.0,5296.0,7576.0,4921700.0,384.1954262769248,17720.45942408377,17326.0,12130.0,24868.0,1.3538431E7,2969.2823818825286,0.0077728051217302386,0.25865133792615064,0.29366745316240617,2.7094842840885263,0.03561283559253968,0.1426508296547525,21.28476052739351,11.657909137441045,-1.3192536298427353,1.825778557411676,761.0,108.23423907310676,0.8163289234462002,0.9832041343669249,3.9234881011762384
ID2563,2563,7,959.0,371.87539103232535,21.130344108446298,0.0,5.0,5,17.471667947000803,1,,6041.808133472367,6040.0,4755.0,7658.0,5794094.0,463.02975719783666,13771.01772679875,13707.0,6691.0,22240.0,1.3206406E7,3474.673119108346,0.007460822956843176,0.1932620537695099,0.4944961175031714,2.6227094043175363,-0.3198703009982248,0.028791394871644053,28.710947503395673,10.860165941328443,0.14920029047286432,2.6436932601679635,959.0,135.44686913955547,0.656886792126608,0.9721236695387736,4.373807522241238
ID2601,2601,7,1057.0,386.54576405384006,23.74338875692795,0.0,6.0,6,18.303583124853986,1,,5977.835394862036,5972.0,4752.0,7287.0,6282705.0,407.6981055392535,11122.511893434825,11116.0,7034.0,14786.0,1.168976E7,1536.9527398011367,7.477408162558536E-4,0.02191097603273466,0.31921662334297496,3.50220646327561,0.3547568078115243,-0.5298290499803875,23.819503464192486,15.01662545813973,0.7640556016475112,1.586208801077953,1052.4999999999998,134.98595604755133,0.7258632266327398,0.92082239720035,4.160806646860914
ID2624,2624,9,274.0,550.2190737355271,459.2726995734308,0.0,2.0,2,9.330474471926214,1,,5957.149635036496,5963.0,4915.0,7026.0,1632259.0,329.07436429217415,9832.01094890511,9788.0,7552.0,12381.0,2693971.0,1114.2730821980688,0.004592643961376669,0.1655187655312111,0.21730083980681883,3.150243999562007,-0.028717895066591836,0.007120461696038424,9.797987975167707,9.102853152628942,-0.20414941161210412,1.076364499227147,273.5,60.173596616162605,0.9491945894571867,0.9873646209386282,3.638541267927059
ID2588,2588,9,244.0,541.9423868312757,468.3305898491083,0.0,3.0,3,8.79484521425256,1,,6061.945833333333,6064.0,5016.0,6967.0,1454867.0,369.73568697820355,9649.391666666666,9849.0,6870.0,11565.0,2315854.0,1133.4462042100695,0.00912617961020666,0.2965474643166784,0.28945107936306597,3.822076024333811,0.013633817089731314,0.14881571831046542,11.734297017584037,6.952442963973038,-1.360004212451468,1.6877947907505544,243.0,61.30393179003762,0.8125301386663903,0.9662027833001988,3.9326490579289644
ID2577,2577,10,1122.0,97.73612347877709,180.71890768774117,0.0,3.0,3,18.906665549070173,1,,6453.065062388592,6428.0,5175.0,7594.0,7240339.0,389.8867836427307,33902.82174688057,33520.0,15049.0,51976.0,3.8038966E7,9383.045549428438,0.016779793515656876,0.5462824282299468,0.5614021078888866,2.5982521475698355,-0.15062671958945903,0.2731342913832955,22.531060394298105,16.244873573609315,1.1517644341852096,1.3869643424557667,1123.0,128.77058507583334,0.851052363999003,0.9718736477715275,3.8426142663061125
ID2570,2570,10,1404.0,107.80883049242425,169.63612689393938,0.0,2.0,2,21.17026971360491,1,,6384.483985765125,6367.0,5122.0,7834.0,8970200.0,390.9681394995769,28830.347330960853,26238.0,12991.0,54413.0,4.0506638E7,10963.205398385799,0.01668258145324163,0.5359105429902888,0.5475405648519492,1.8608723259093793,-0.8641107476534088,-0.7348412375045928,36.36289993726888,13.679082532809629,0.7130678261670166,2.658285001940118,1408.0,165.6093055315925,0.6451237741401029,0.9443326626425218,4.413502821811335
ID2562,2562,11,373.0,552.4301801801802,68.13018018018019,0.0,3.0,3,10.852403323135503,1,,6036.231182795699,6021.0,4949.0,7246.0,2245478.0,403.2382336722216,9249.368279569893,9078.0,5979.0,14167.0,3440765.0,1593.941740156354,0.007092009399489424,0.2108309224274989,0.35765487653590483,3.057344595522911,0.17036994298409314,0.5236695279209823,16.098951736190887,7.766214923593667,0.049886731155245556,2.072946975402711,369.99999999999983,85.71701432369666,0.6328160962795547,0.8685446009389666,4.4562153814488905
ID2618,2618,11,166.0,547.1026026026026,55.63713713713714,0.0,4.0,4,7.280013464932681,1,,6030.041916167665,6017.0,5171.0,6911.0,1007017.0,340.97313523992227,9503.065868263473,9343.0,6390.0,13380.0,1587012.0,1630.2397234383047,0.005807951453220469,0.20423871845112695,0.29110218348769235,2.6286157837115454,-0.014377591302471099,0.13803637228684107,7.62891850209799,7.339806027985713,1.0387135214963967,1.0393896613902234,166.5,47.581567936389675,0.9241588009137697,0.9823008849557524,3.6874966135559477
