LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frames),(frames),(frames),(pixels),(pixels),(pixels),(pixels),(pixels/frames),(pixels/frames),(pixels/frames),(pixels/frames),(pixels/frames),(quality),(pixels),(pixels),,(pixels/frames),,(rad/frames)
Track_0,0,0,3,0,0,0,0,0,2.0,0.0,2.0,13.586457090139545,279.32906732899863,285.64889987915967,0.0,8.570927109325309,9.930859115772265,7.210995102878353,9.930859115772265,1.9232342874225399,5399.333333333333,17.141854218650618,13.586457090139545,0.7925896998562301,6.7932285450697725,0.7925896998562301,1.3313211826019808
Track_2,2,2,3,0,0,0,0,0,2.0,4.0,6.0,20.567309725322374,144.10644700176763,191.22116700321882,0.0,10.685897331937992,11.314717747180314,10.05707691669567,11.314717747180314,0.8892863595327725,1244.0,21.371794663875985,20.567309725322374,0.9623576329828115,10.283654862661187,0.9623576329828115,0.5514779864597636
Track_4,4,4,2,0,0,0,0,0,1.0,6.0,7.0,12.553526427413725,389.3803922839026,455.6200448349142,0.0,12.553526427413725,12.553526427413725,12.553526427413725,12.553526427413725,NaN,1095.0,12.553526427413725,12.553526427413725,1.0,12.553526427413725,1.0,NaN
Track_6,6,6,2,0,0,0,0,0,1.0,6.0,7.0,12.882230538354591,12.81618320485523,372.08006698611166,0.0,12.882230538354591,12.882230538354591,12.882230538354591,12.882230538354591,NaN,798.0,12.882230538354591,12.882230538354591,1.0,12.882230538354591,1.0,NaN
Track_7,7,7,2,0,0,0,0,0,1.0,5.0,6.0,14.901269976929655,379.2105775430827,22.436866432687125,0.0,14.901269976929655,14.901269976929655,14.901269976929655,14.901269976929655,NaN,1008.0,14.901269976929655,14.901269976929655,1.0,14.901269976929655,1.0,NaN
Track_9,9,9,2,0,0,0,0,0,1.0,2.0,3.0,12.269837910796515,546.0807302834014,463.80164471126955,0.0,12.269837910796515,12.269837910796515,12.269837910796515,12.269837910796515,NaN,259.0,12.269837910796515,12.269837910796515,1.0,12.269837910796515,1.0,NaN
Track_10,10,10,2,0,0,0,0,0,1.0,2.0,3.0,14.976229722671809,102.77247698560066,175.17751729084029,0.0,14.976229722671809,14.976229722671809,14.976229722671809,14.976229722671809,NaN,1263.0,14.976229722671809,14.976229722671809,1.0,14.976229722671809,1.0,NaN
Track_11,11,11,2,0,0,0,0,0,1.0,3.0,4.0,13.581576024910873,549.7663913913914,61.88365865865866,0.0,13.581576024910873,13.581576024910873,13.581576024910873,13.581576024910873,NaN,269.5,13.581576024910873,13.581576024910873,1.0,13.581576024910873,1.0,NaN
